band_abbrev,band_copied,date_right_after_band,notes_copied
_slash,"""Slash""",,""""""
a,"""notband""",,""""""
a certain ratio,"""A Certain Ratio""",,""""""
a flock of seagulls,"""Flock of Seagulls""",,""""""
a perfect circle,"""A Perfect Circle""",,""""""
a side,"""A-Side""",,""""""
a-beez,"""The A-Beez""",,""""""
a-to have and to have not,"""notband""",,""""""
a_christmas_celtic_sojourn,"""notband""",,""""""
aaronleetasjan,"""Aaron Lee Tasjan""",,""""""
ab,"""unknown""",,""""""
abc,"""unknown""",,""""""
abdullah ibrahim and ekaya zuerich,"""Abdullah Ibrahim and Ekaya Zuerich""",,""""""
abigail washburn and bela fleck,"""Abigail Washburn and Bela Fleck""",,""""""
ac-dc,"""AC/DC""",,""""""
ac-disc,"""notband""",,"""Willing to bet this is AC/DC with typo"""
ac_dc,"""AC/DC""",,""""""
accept,"""Accept""",,""""""
acceptsb,"""Accept""",FALSE,""""""
acdc,"""AC/DC""",,""""""
ace frehley,"""Ace Frehley""",,""""""
acefrehley,"""Ace Frehley""",,""""""
achinghearts,"""Aching Hearts""",,""""""
acid mothers temple,"""Acid Mothers Temple""",,""""""
acoustic,"""unknown""",,""""""
acoustic strawbs,"""Strawbs""",,""""""
ad,"""AD""",,""""""
adam,"""unknown""",,""""""
adamcarroll.brianrung,"""Adam Carroll and Brian Rung""",,""""""
adamezra,"""Adam Ezra Group""",,""""""
adele,"""Adele""",,""""""
adolescents,"""Adolescents""",,""""""
adrian legg,"""Adrian Legg""",,""""""
ae,"""Æ""",,""""""
aeg,"""unknown""",,""""""
aerosmith,"""Aerosmith""",,""""""
af,"""unknown""",,""""""
afghan whigs,"""Afghan Whigs""",,""""""
afl,"""AFL""",,""""""
afl & low riders,"""AFL & Low Riders""",,""""""
afrolachia,"""Afrolachia""",,""""""
ag,"""unknown""",,""""""
against me,"""Against Me!""",,""""""
agd,"""unknown""",,""""""
agents of good roots,"""Agents of Good Roots""",,""""""
agnesobel,"""Agnes Obel""",,""""""
aharding,"""Aldous Harding""",,""""""
ahleuchatistas,"""Ahleuchatistas""",,""""""
ahmad jamal,"""Ahmad Jamal""",,""""""
ahmaljamal,"""Ahmad Jamal""",,""""""
aia_d,"""A1A""",FALSE,""""""
aic,"""Alice in Chains""",,""""""
aimee mann,"""Aimee Mann""",,""""""
air supply,"""Air Supply""",,""""""
ak'chamel,"""Ak'chamel""",,""""""
akus,"""Alison Krauss & Union Station""",,""""""
al green,"""Al Green""",,""""""
al kooper,"""Al Kooper""",,""""""
al stewart,"""Al Stewart""",,""""""
al_dimeola,"""Al Dimeola""",,""""""
alabamashakes,"""Alabama Shakes""",,""""""
alain johannes,"""Alain Johanes""",,""""""
alam khan,"""Alam Khan""",,""""""
alan parsons,"""Alan Parsons""",,""""""
alanmuiz,"""Alan Muiz""",,""""""
alanparsons,"""Alan Parsons""",,""""""
alarm norwich,"""Alarm Norwich""",,""""""
albert lee,"""Albert Lee""",,""""""
albertcastiglia,"""Albert Castiglia""",,""""""
albion band easter garland,"""Albion Band""",FALSE,""""""
aldous harding,"""Aldous Harding""",,""""""
alejandro escovedo,"""Alejandro Escovedo""",,""""""
alejandroescovedoband,"""Alejandro Escovedo Band""",,""""""
alex,"""unknown""",,""""""
alex chilton,"""Alex Chilton""",,""""""
alexchilton,"""Alex Chilton""",,""""""
algreen,"""Al Green""",,""""""
