ID,Sample File Name,Source
599211,01 Badlands.flac,DimeaDozen
599212,Track_01.flac,DimeaDozen
599213,Track_01.flac,DimeaDozen
599215,"d2t01-Heart of Gold, Los Olivos, 2003-09-28.flac",DimeaDozen
599216,01-Immigrant Song.flac,DimeaDozen
599217,06.flac,DimeaDozen
599218,09 a forest.flac,DimeaDozen
599219,01. commentary.flac,DimeaDozen
599220,segment 03.flac,DimeaDozen
599221,"Country Joe & Electric Music Band 2017-07-28 Berkeley,CA M-AUD-01.flac",DimeaDozen
599224,01 Opening SE-Land Of Hope And Glory (Vera Lynn).flac,DimeaDozen
599226,artist - Track 01.flac,DimeaDozen
599230,Mike Westbrook - 01 - La Gazza Ladra - Ouverture.flac,DimeaDozen
599241,19 - Rock and Roll All Nite.flac,DimeaDozen
599246,01-INTRODUCTION.flac,DimeaDozen
599248,01 - Intro.flac,DimeaDozen
599249,01 Strange Boat.flac,DimeaDozen
599251,01 - Intro.flac,DimeaDozen
599257,01-Over The Hills And For Away.flac,DimeaDozen
599259,00-radiointro.flac,DimeaDozen
599264,Track01.flac,DimeaDozen
599265,04 - MC.flac,DimeaDozen
599268,Turbonegro 2017-07-22_t01.flac,DimeaDozen
599271,05 Lonely Woman.flac,DimeaDozen
599274,prime movers_1989_09_29_hamburg_track_16.flac,DimeaDozen
599276,cd1Track01.flac,DimeaDozen
599279,AlStewart1995-06-24CD1t01.flac,DimeaDozen
599280,cd1Track01.flac,DimeaDozen
599281,Track01.flac,DimeaDozen
599286,01) Intro (Blues Brothers).flac,DimeaDozen
599288,cd1Track01.flac,DimeaDozen
599290,prime movers_1992_09_07_braunschweig_track_12.flac,DimeaDozen
599293,2017-08-19 Dead Cross The Observatory01.flac,DimeaDozen
599294,l71992-06-28t01.flac,DimeaDozen
599303,U2 - 2001-11-09 - Salt Lake City - SBD - D1T01.flac,DimeaDozen
599304,Track04.flac,DimeaDozen
599305,DK1985-05-02t01.flac,DimeaDozen
599307,15. Over You.flac,DimeaDozen
599312,2017-08-12_flaming_lips01.flac,DimeaDozen
599314,u21993-07-29_FIX_t12.flac,DimeaDozen
599316,01 - Body - Nestle - Obscene.flac,DimeaDozen
599321,edgarwinter2017-08-19tr01.flac,DimeaDozen
599322,d01 Track01.flac,DimeaDozen
599323,Cue 01.flac,DimeaDozen
599324,14 encore.flac,DimeaDozen
599327,BRox 2017-08-19 t29.flac,DimeaDozen
599328,16 We've Got A Bigger Problem Now.flac,DimeaDozen
599329,101. intro.flac,DimeaDozen
599330,D1Track01.flac,DimeaDozen
599331,cd1 - Track 01.flac,DimeaDozen
599332,AlGreen2012-05-05t01.flac,DimeaDozen
599333,09 a forest.flac,DimeaDozen
599335,01. intro (tape) - open.flac,DimeaDozen
599336,01 Audio Track.flac,DimeaDozen
599340,track01.flac,DimeaDozen
599341,Rose Hill Drive 2011-04-07set1t01.flac,DimeaDozen
599342,01 Ace Of Spades.flac,DimeaDozen
599343,01.flac,DimeaDozen
599345,who_731112_remaster_16_tr04.flac,DimeaDozen
599347,tp1995-06-12d2t13.flac,DimeaDozen
599351,01.flac,DimeaDozen
599352,01- Halleluja.flac,DimeaDozen
599354,01.flac,DimeaDozen
599355,bd1989-08-05d1t01.flac,DimeaDozen
599356,01.flac,DimeaDozen
599357,Aldous Harding - 2017 - Haldern - soundcheck.flac,DimeaDozen
599360,Bear's Den - 2017 - Haldern -01.flac,DimeaDozen
599361,bd1980-05-09d1t01.flac,DimeaDozen
599362,dungen2016-06-17bowery-01.flac,DimeaDozen
599363,101 Track01.flac,DimeaDozen
599364,01 Track01.flac,DimeaDozen
599367,Warpaint Live at Vida 2017.flac,DimeaDozen
599369,01 - Quiet.flac,DimeaDozen
599370,d1t01.flac,DimeaDozen
599371,rw1987-08-14d1t13.shn,DimeaDozen
599372,Rush - Summer Nights 6-2-77 D01T01.shn,DimeaDozen
599374,VintageCaravan 2017-07-28_t01.flac,DimeaDozen
599375,rush_04-29-94_d1t01.shn,DimeaDozen
599378,00 intro.flac,DimeaDozen
599379,01.flac,DimeaDozen
599380,iggy pop - 2017-08-11 - haven - t01.flac,DimeaDozen
599381,2  bassdrumbone -@ VY nyc 2017-06-02.flac,DimeaDozen
599382,01 - Radio intro.flac,DimeaDozen
599383,Track01.flac,DimeaDozen
599384,101 Rock And Roll.flac,DimeaDozen
599386,EC 19770821  01. Less Than Zero.flac,DimeaDozen
599389,00 (intro).flac,DimeaDozen
599391,d101.flac,DimeaDozen
599395,v_femmes1983-xx-xxt01.shn,DimeaDozen
599399,07.flac,DimeaDozen
599402,05 Achmed Flyger.flac,DimeaDozen
599403,cd1 - Track 01.flac,DimeaDozen
599405,1 Avram- Athanor for e-guitars ensemble and computer sound.flac,DimeaDozen
599406,01.flac,DimeaDozen
599407,reginaspektor2017-08-19t01.flac,DimeaDozen
599409,01. Intro.flac,DimeaDozen
599410,02.flac,DimeaDozen
599411,18-Encore.flac,DimeaDozen
599412,track01.flac,DimeaDozen
599415,01.flac,DimeaDozen
599419,202 Advertisement - Shredding Alternative.flac,DimeaDozen
599421,The Amazons - 2017 - Haldern -01.flac,DimeaDozen
599428,01 Introduction.flac,DimeaDozen
599429,01- Musica e Parole.flac,DimeaDozen
599435,01 White Noise.flac,DimeaDozen
599437,Life 2017-04-30t01.flac,DimeaDozen
599438,12- The Wheel.flac,DimeaDozen
599443,01 no words - no thoughts.flac,DimeaDozen
599445,08 - Oasis - Champagne Supernova.flac,DimeaDozen
599446,Eric Clapton 1983-02-28 01.flac,DimeaDozen
599447,Track13.shn,DimeaDozen
599448,"01 Intro, The Genetic Method - Chest Fever.flac",DimeaDozen
599450,01 intro.flac,DimeaDozen
599451,Track01.shn,DimeaDozen
599452,01 once around the ride.flac,DimeaDozen
599453,01 intro.flac,DimeaDozen
599454,01 Country Death Song.flac,DimeaDozen
599455,01 The Precipice.flac,DimeaDozen
599457,01 Words.flac,DimeaDozen
599458,01-Utopia.flac,DimeaDozen
599459,Slayer Phoenix (01) intro Repentless.flac,DimeaDozen
599465,09. C Visar VÃ¤gen - SÃ¥ Blev Det BestÃ¤mt - Svart Ã¤r Himlen.flac,DimeaDozen
599468,04 Mina Damer Och Fasaner.flac,DimeaDozen
599469,Max-Webster-Rush_77-08-23_Toronto_000.flac,DimeaDozen
599471,cd1 - Track 01.flac,DimeaDozen
599476,tadream1980-10-20d1t01.shn,DimeaDozen
599479,1.flac,DimeaDozen
599480,01 - Pearl's Girl.flac,DimeaDozen
599482,JA_Set1_07.flac,DimeaDozen
599483,Track09.flac,DimeaDozen
599484,00 [mani neumaier].flac,DimeaDozen
599487,bd1990-10-13d1t01.flac,DimeaDozen
599490,d1t01.flac,DimeaDozen
599494,01.flac,DimeaDozen
599496,11.Fade In-Out.flac,DimeaDozen
599501,Track01.shn,DimeaDozen
599502,21 Back To Memphis.flac,DimeaDozen
599503,09 Don't Do It.flac,DimeaDozen
599504,01.flac,DimeaDozen
599505,01-Intro.flac,DimeaDozen
599506,01 intro.flac,DimeaDozen
599507,AIC_1991_10_24_NJ05.flac,DimeaDozen
599508,jaq2001-08-26t01.flac,DimeaDozen
599510,Lamb of God Phoenix (01) intro.flac,DimeaDozen
599511,01. The Star-Spangled Banner.flac,DimeaDozen
599513,09 - The Same Deep Water As You.flac,DimeaDozen
599516,Peter BrÃ¶tzmann - 01 - Improv.flac,DimeaDozen
599518,ParkerMillsap2017-08-21t01.flac,DimeaDozen
599519,John Abercrombie - 01 - Little Booker.flac,DimeaDozen
599521,d1t01 prayer 07-03.flac,DimeaDozen
599523,ZZTop2013-05-04t01.flac,DimeaDozen
599524,01 improvisation 06-09.flac,DimeaDozen
599525,John Abercrombie - 01 - Jazz Folk.flac,DimeaDozen
599526,01 Melody Lee.flac,DimeaDozen
599528,01 Intro.flac,DimeaDozen
599529,01.flac,DimeaDozen
599530,JohnMoreland2017-08-22t01.flac,DimeaDozen
599534,ps2004-05-16t01 Trampin'.flac,DimeaDozen
599537,01 first time out 04-27.flac,DimeaDozen
599538,Me + Marie - 2017 - Haldern - soundcheck.flac,DimeaDozen
599540,Track No01.flac,DimeaDozen
599541,nico1979-05-28d1t01.flac,DimeaDozen
599542,Carla Bley - 01 - Stage Intro.flac,DimeaDozen
