ID,band_abbrev
567194.html,ACDC UK - Dunfermline
566104.html,Bob Dylan - June
566727.html,Buben_Cin
566252.html,Casting Crowns Royals Stadium Kansas City Missouri July
567047.html,Charlie Cunningham - Graz
566208.html,Danish Radio Big Band - K&Atilde;&para;lner Funkhaus
567771.html,DayWave_Lollapalooza
c2b7c10aa42aa6f55c8537ece72ed5726ae6b1b3,DeadCo.Irvine
566783.html,Demiricous - July
567544.html,Die Aerzte - Die diabolischen
566903.html,Dixie Chicks MMXVI
566278.html,Dizzy Mizz Lizzy (Roskilde
565954.html,EHG - April
565868.html,EluveitieLorley
567234.html,GNR SFaud
565793.html,GORDON GATTON MFP
566685.html,Glen HANSARD - Rudolstadt
566439.html,HW - TOADS PLACE MATRIX
565913.html,Is She Really Going Out With Him
0140111caca68f331e53d9651a3eadf6b7b0f999,It's No Use
566814.html,JMJarre_Montreux
566234.html,Jam- Poole
566526.html,Jam_Apollo
567140.html,KISS Independence Mo Events Center July
566136.html,Karma To Burn_Denver CO
566798.html,Keith Jarrett solo
566810.html,Lucie Vitkova-ingelfritz   firehouse
565650.html,MAKU_ Soundsystem
566896.html,Macca final
566756.html,Marillion_DenHaag
566114.html,Mavis Staples - June
567536.html,Memorial for Pat and Rick
566329.html,Ministry_Riviera
567879.html,ModernBaseball_Lollapalooza
567120.html,"Neil Young - Orange Stage, Roskilde Festival, Denmark"
567402.html,NickCave_Metro
565891.html,NickCave_Metro_Feb
567592.html,OPMonteCarlo
566219.html,PDP_LoungeAx_Feb
566264.html,Paul McCartney - July
566734.html,Peter &amp; the Test Tube Babies - Edinburgh
587888.html,Phish-Sleeptrain.CVCA
567758.html,Radiohead_Lollapalooza
567795.html,Rob Brown Quartet jpc clemente ny
127033.html,SM PF Humble Pie Reunion
566511.html,Standing O-Tenacious D
565961.html,Stranger than Fiction - Der britische Saenger Joe Jackson (Deutschlandfunk_ Rock et cetera
566789.html,"The Clash - Rettel Festival, France"
565503.html,The Cure - le CURE en MONTREAL
566127.html,The Jam Bolingbrook Mar
566155.html,The Jam Ritz NY
565852.html,The Obsessed_Denver CO
566231.html,The_Jam_New_York
566157.html,The_Jam_Southampton
566144.html,The_Jam_The_Tube
566657.html,VAN MORRISON - Montreux July
567318.html,VM - Birmingham September
565923.html,VM - Hamburg July
566150.html,Waterboys Weert
566066.html,Weird Al Yankovic - July
565901.html,Whitford-St
126863.html,applause-talk
566973.html,chess smith trio -poncho seattle
565934.html,l-ficher-g-baton-adelaide
127034.html,the.steepwater.band
