band_abbrev_old,band_abbrev
*gd,gd
#NAME?,notband
#NAME?,notband
_slash_high voltage,slash
a,
a certain ratio,
a flock of seagulls,
a perfect circle,
a side,
a-beez,
a-to have and to have not,
a_christmas_celtic_sojourn,
aaronleetasjan,
ab,
abc,
abdullah ibrahim and ekaya zuerich,
abigail washburn and bela fleck,
ac,
ac-dc_nov,
ac-disc,
ac_dc,
accept,
acceptsb,
acdc,
acdcamsterdam,
ace frehley,
acefrehley,
achinghearts,
acid mothers temple,
acoustic,
acoustic strawbs,
acquired as stand-alone flac stereolab-colchester arts centre,
acquired as stand-alone flac stereolab-manchester university,
ad,
adam,
adamcarroll.brianrung,
adamezra,
"adele,st jordi",
adolescents,
adrian legg,
ae,
aeg,
aerosmith oracleworld,
af,
afghan whigs,
afghan whigs - leeds,
afl,
afl & low riders royal albert hall london england june,
afrolachia,
ag,
against me,
agd,
agents of good roots,
agnesobel,
ah,
aharding,
ahleuchatistas,
ahmad jamal,
ahmaljamal,
aia_d,
aic,
aimee mann,
aimee mann christmas,
aimee mann_christmas,
air supply,
aj,
ak'chamel,
akashicrecord,
akus,
al green,
al kooper,
al stewart,
al_dimeola,
alabamashakes,
alain johannes gamh sf ca,
alam khan,
alan parsons,
alanmuiz,
alanparsons,
alarm norwich,
albert lee,
albertcastiglia,
albion band easter garland,
aldous harding,
alejandro escovedo,
alejandroescovedoband,
alex,
alex chilton,
alexchilton,
algreen,
alice cooper - august,
alice in chains,
alicecooper,
alicecooperffm,
alicecooperludwigsburg,
aliceinchains,
alison brown,
alison krauss & union station,
alisonbrown,
alisonbrownquintet,
alisonkrauss,
alisonkraussunionstation,
alkatraz,
all about chad,
allan.taylor,
allison crutchfield and the fizz,
allisonau,
allisterlob,
allyvenable,
allyveneble,
alo,
alpert,
alphaville,
alstewart,
alt j,
alt-j,
alter bridge,
alterbridge,
alvvays,
am,
amanda,
amberiandawnfemme,
amboy dukes,
amenra,
america,
americanaquarium,
aminafigarova,
amparanoia,
amyhelm,
amyray,
ana popovic,
analogues,
anamanaguchi,
anapopovic,
anapopovicbensheim,
anapopovoc,
anders,
anders+jackie,
andersosborne,
andres,
andrew gibb & scottish dance band,
andy frasco,
andy irvine - hamburg,
andy m stewart,
