ID,filename,source,filetype,band_abbrev,abbrev_type,band,thedate,date_format,date_right_after_band,score
332193a21424db9e6014b3192b365516db5a3de9,jgb1974-11-02.gs.aud.castelli.motb.d1t01.flac,LosslessLegs,flac,jgb,canonical,Jerry Garcia Band,1974-11-02 00:00:00,yyyy-mm-dd,True,4
587840.html,LosLobos2016-07-23t08.flac,Etree,flac,loslobos,assigned,Los Lobos,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587817.html,gsbg2016-07-22set2track01.flac,Etree,flac,gsbg,assigned,Greensky Bluegrass,2016-07-22 00:00:00,yyyy-mm-dd,True,4
587818.html,gsbg2016-07-22_set1_24bit_t01.flac,Etree,flac,gsbg,assigned,Greensky Bluegrass,2016-07-22 00:00:00,yyyy-mm-dd,True,4
587819.html,gsbg2016-07-22_set1_t01.flac,Etree,flac,gsbg,assigned,Greensky Bluegrass,2016-07-22 00:00:00,yyyy-mm-dd,True,4
587821.html,gsbg2016-07-22set2track01.flac,Etree,flac,gsbg,assigned,Greensky Bluegrass,2016-07-22 00:00:00,yyyy-mm-dd,True,4
587822.html,gd1982-08-04s1t01.flac,Etree,flac,gd,canonical,Grateful Dead,1982-08-04 00:00:00,yyyy-mm-dd,True,4
587825.html,ph2016-07-18S1t.01.flac,Etree,flac,ph,canonical,Phish,2016-07-18 00:00:00,yyyy-mm-dd,True,4
587826.html,ph2016-07-19S1t.01.flac,Etree,flac,ph,canonical,Phish,2016-07-19 00:00:00,yyyy-mm-dd,True,4
587827.html,ph2016-07-20S1t.01.flac,Etree,flac,ph,canonical,Phish,2016-07-20 00:00:00,yyyy-mm-dd,True,4
587828.html,wsp2016-07-15S1t.01.flac,Etree,flac,wsp,canonical,Widespread Panic,2016-07-15 00:00:00,yyyy-mm-dd,True,4
587833.html,Dead&amp;Company2015-11-13.bsc2..s02.t05.flac,Etree,flac,dead&amp;company,assigned,Dead & Company,2015-11-13 00:00:00,yyyy-mm-dd,True,4
