rownumber,filename,filetype,band,abbrev_type,date,date_format,mics_etc,score
1712,bs2016-07-02.t01.flac,flac,bs,canonical,2016-07-02 00:00:00,yyyy-mm-dd,t01,4
1407,sangeetmishrabobbysingh2016-06-19s1t01.flac,flac,sangeetmishrabobbysingh,notfound,2016-06-19 00:00:00,yyyy-mm-dd,s1t01,4
1437,loverevisited2016-06-30-t01.flac,flac,loverevisited,notfound,2016-06-30 00:00:00,yyyy-mm-dd,t01,4
1440,creeper2016-06-04at831t01.flac,flac,creeper,notfound,2016-06-04 00:00:00,yyyy-mm-dd,at831t01,4
1386,am2015-10-31 d01t01.flac,flac,am,notfound,2015-10-31 00:00:00,yyyy-mm-dd,d01t01,4
1104,ph&amp;tl2015-12-10t01.flac,flac,ph&amp;tl,notfound,2015-12-10 00:00:00,yyyy-mm-dd,t01,4
863,sp2007-07-03t01.flac,flac,sp,notfound,2007-07-03 00:00:00,yyyy-mm-dd,t01,4
1228,calexico2015-04-17s01t01.flac,flac,calexico,notfound,2015-04-17 00:00:00,yyyy-mm-dd,s01t01,4
744,loslobos2016-07-23s1t01.flac,flac,loslobos,notfound,2016-07-23 00:00:00,yyyy-mm-dd,s1t01,4
746,tth2016-07-22t01.flac,flac,tth,notfound,2016-07-22 00:00:00,yyyy-mm-dd,t01,4
823,crb2016-07-30.mk4v.sxr4.1644.s1t01.flac,flac,crb,notfound,2016-07-30 00:00:00,yyyy-mm-dd,mk4v.sxr4.1644.s1t01,4
737,loslobos2016-07-23t08.flac,flac,loslobos,notfound,2016-07-23 00:00:00,yyyy-mm-dd,t08,4
707,jackie2016-07-22d01t09.flac,flac,jackie,notfound,2016-07-22 00:00:00,yyyy-mm-dd,d01t09,4
715,gsbg2016-07-22set2track01.flac,flac,gsbg,notfound,2016-07-22 00:00:00,yyyy-mm-dd,set2track01,4
716,gsbg2016-07-22_set1_24bit_t01.flac,flac,gsbg,notfound,2016-07-22 00:00:00,yyyy-mm-dd,set1_24bit_t01,4
717,gsbg2016-07-22_set1_t01.flac,flac,gsbg,notfound,2016-07-22 00:00:00,yyyy-mm-dd,set1_t01,4
719,gsbg2016-07-22set2track01.flac,flac,gsbg,notfound,2016-07-22 00:00:00,yyyy-mm-dd,set2track01,4
733,ttb2016-07-23t08.flac,flac,ttb,notfound,2016-07-23 00:00:00,yyyy-mm-dd,t08,4
734,jason2016-07-23d01t14.flac,flac,jason,notfound,2016-07-23 00:00:00,yyyy-mm-dd,d01t14,4
772,gsbg2016-07-23_set1_24bit_t01.flac,flac,gsbg,notfound,2016-07-23 00:00:00,yyyy-mm-dd,set1_24bit_t01,4
752,deltarae2015.12.10.t01.flac,flac,deltarae,notfound,2015-12-10 00:00:00,yyyy-mm-dd,t01,4
861,tbc1996-12-10d1t01.flac16.flac,flac,tbc,notfound,1996-12-10 00:00:00,yyyy-mm-dd,d1t01.flac16,4
773,gsbg2016-07-23_set1_t01.flac,flac,gsbg,notfound,2016-07-23 00:00:00,yyyy-mm-dd,set1_t01,4
1428,megadeth2005-06-04d1t01.flac,flac,megadeth,notfound,2005-06-04 00:00:00,yyyy-mm-dd,d1t01,4
1399,debashishbhattacharya2016-03-20t01.flac,flac,debashishbhattacharya,notfound,2016-03-20 00:00:00,yyyy-mm-dd,t01,4
1234,ny2016-07-07t14.flac,flac,ny,notfound,2016-07-07 00:00:00,yyyy-mm-dd,t14,4
1391,phosphorescent2005-10-27t01.flac,flac,phosphorescent,notfound,2005-10-27 00:00:00,yyyy-mm-dd,t01,4
1216,truckstophoneymoon2016-03-18t01.flac,flac,truckstophoneymoon,notfound,2016-03-18 00:00:00,yyyy-mm-dd,t01,4
1218,ny2016-07-05t15.flac,flac,ny,notfound,2016-07-05 00:00:00,yyyy-mm-dd,t15,4
1221,mostlyautumn2011-06-25t01.flac,flac,mostlyautumn,notfound,2011-06-25 00:00:00,yyyy-mm-dd,t01,4
1226,birdman2016-07-07.track11.flac,flac,birdman,notfound,2016-07-07 00:00:00,yyyy-mm-dd,track11,4
745,dopapod2015-10-10.bsc2.k41.t13.flac,flac,dopapod,notfound,2015-10-10 00:00:00,yyyy-mm-dd,bsc2.k41.t13,4
