ID,filename,band_abbrev,abbrev_type,date_format,date_parsed,mics_etc
332193a21424db9e6014b3192b365516db5a3de9,jgb1974-11-02.gs.aud.castelli.motb.d1t01.flac,jgb,variant,yyyy-mm-dd,1974-11-02 00:00:00,.gs.aud.castelli.motb.d1t01
96e76265597a62e9f3a9556776737c473116b3f7,gd1992-12-06.AKG451.t01.flac,gd,canonical,yyyy-mm-dd,1992-12-06 00:00:00,.AKG451.t01
f87760707cc1f41d6ca4cf566995e49d397e79cf,02 Tear My Stillhouse Down.flac,,blank,otros,,
6dd5d5a349fea7b0a59fc5fa35a2070008c9498e,smiths1984-02-24t04.flac,smiths,assigned,yyyy-mm-dd,1984-02-24 00:00:00,t04
cd1c8a96322419332b10e785012c7c15e97ee44c,StingGabriel2016-06-26Camden.t18.flac,stinggabriel,assigned,yyyy-mm-dd,2016-06-26 00:00:00,Camden.t18
27b5823ccebd72da0c4816eccef6be226b3924e8,widespreadpanic2016-06-21t01.cm300s.cp1s.16bit.flac,widespreadpanic,incorrect,yyyy-mm-dd,2016-06-21 00:00:00,t01.cm300s.cp1s.16bit
ba7d86ba173e83f002eee50095f03e75785ec626,jg+ms1974-11-05a-new-d1t01.shn,jg+ms,assigned,yyyy-mm-dd,1974-11-05 00:00:00,a-new-d1t01
9184a411bc37d4eef784a4f6aea29a2e3b7e41fb,garcia74-11-05d1t01.flac,garcia,canonical,yy-mm-dd,1974-11-05 00:00:00,d1t01
7e6510d783b6e191a3946c8e808e51b896cdbd27,gd1992-12-06.AKG451.t01.flac,gd,canonical,yyyy-mm-dd,1992-12-06 00:00:00,.AKG451.t01
8476dda5e86fb903aef7d5a2699d3db1a2ca4b73,gd1992-12-11d1t02.shn,gd,canonical,yyyy-mm-dd,1992-12-11 00:00:00,d1t02
0c613188e31514051ea21c46abef03972fe20ab6,gd74-02-24s1t01.flac,gd,canonical,yy-mm-dd,1974-02-24 00:00:00,s1t01
9248b94fa87821bae0cc450c7b4323ea3297207b,gd73-03-22s1t01.flac,gd,canonical,yy-mm-dd,1973-03-22 00:00:00,s1t01
7e14eae48bd45537d5a8666d72c1d2de55d91dd8,01-THE CHANT HAS JUST BEGUN.flac,,blank,otros,,
e0b8588b178e7df6686cf9d3424cc4465ce376a7,01 Crossroads.flac,,blank,otros,,
c7804b0573c372da230525a6167e9ce7dbdf3a89,1 Audio Track.flac,,blank,otros,,
346cbc99618df8022691280b62fdd4aa7189a021,DeadandCo20160628S01T01.flac,deadandco,assigned,yy-mm-dd,2016-06-28 00:00:00,S01T01
8ec7d8a82cf38a3cf2fc4fe74cbb1277e5e5a364,gd1988-03-16s1t01.flac,gd,canonical,yyyy-mm-dd,1988-03-16 00:00:00,s1t01
293468d9a94397c1f081f03ea77c2a950f0db0df,Dead&Co 2016-05-23.Sunday Morning Interview.flac,dead&co,assigned,yyyy-mm-dd,2016-05-23 00:00:00,.Sunday Morning Interview
9dcbebcd323cf01be15181e37715185fed853e12,DeadandCompany20160626S01T01.flac,deadandcompany,assigned,yy-mm-dd,2016-06-26 00:00:00,S01T01
3e7f1adc22ae6a3e3de0f4b17600bf89430bebfd,gd74-02-24s1t01.flac,gd,canonical,yy-mm-dd,1974-02-24 00:00:00,s1t01
25f86f37d66b352a145403a506b6a059ad2bf82b,02 Errant Girl for Rhythm.flac,,blank,otros,,
663be4f935079edb4d4219904298b3958c87ad44,02 Back To Manhattan.flac,,blank,otros,,
